id;club-id;trikot-number;player-name;country;total-games;goals;assists
259;17;34;Marvin Matip;D;31;2;1
260;17;5;Benjamin Hübner;D;28;1;0
261;17;23;Robert Bauer;D;23;1;0
262;17;18;Romain Brégerie;F;22;0;0
263;17;21;Danny da Costa;D;18;0;4
264;17;28;Tobias Levels;NL;16;1;2
265;17;29;Markus Suttner;A;16;0;0
266;17;20;Konstantin Engel;D;4;0;0
267;17;15;Danilo;BRA;1;0;0
268;17;10;Pascal Groß;D;30;1;4
269;17;8;Roger;BRA;28;1;1
270;17;6;Alfredo Morales;D;23;1;2
271;17;14;Stefan Lex;D;19;2;0
272;17;19;Max Christiansen;D;18;0;1
273;17;36;Almog Cohen;ISR;18;0;2
274;17;31;Maurice Multhaup;D;4;0;0
275;17;22;Stefan Wannenwetsch;D;1;0;0
276;17;30;Thomas Pledl;D;0;0;0
277;17;7;Mathew Leckie;AUS;30;2;0
278;17;9;Moritz Hartmann;D;28;10;1
279;17;16;Lukas Hinterseer;A;26;6;0
280;17;37;Dario Lezcano;PAR;15;2;1
281;17;25;Elias Kachunga;D;10;0;0
282;17;11;Tomas Pekhart;CZE;4;0;0
283;2;1;Diego Benaglio;CH;21;0;0
284;2;28;Koen Casteels;B;11;0;0
285;2;20;Max Grün;D;0;0;0
286;2;15;Christian Träsch;D;27;0;2
287;2;25;Naldo;BRA;27;0;0
288;2;8;Vieirinha;POR;25;1;5
289;2;34;Ricardo Rodríguez;CH/E;24;2;3
290;2;18;Dante;BRA;21;1;0
291;2;4;Marcel Schäfer;D;19;1;1
292;2;24;Sebastian Jung;D;11;0;1
293;2;31;Robin Knoche;D;10;1;0
294;2;5;Timm Klose;CH;8;1;0
295;2;6;Carlos Ascues;PER;1;0;0
296;2;26;Felipe Lopes;BRA;1;0;0
297;2;37;Moritz Sprenger;D;0;0;0
298;2;23;Josuha Guilavogui;F;29;2;0
299;2;27;Maximilian Arnold;D;29;2;1
300;2;17;Andre Schürrle;D;27;7;4
301;2;7;Daniel Caligiuri;I/D;26;2;5
302;2;10;Julian Draxler;D;20;5;4
303;2;22;Luiz Gustavo;BRA;20;0;2
304;2;9;Ivan Perisic;CRO;2;1;0
305;2;10;Aaron Hunt;D;2;0;0
306;2;14;Kevin De Bruyne;B;2;0;0
307;2;33;Paul Seguin;D;2;0;0
308;2;38;Ismail Azzaoui;B;2;0;0
309;2;0;Francisco Rodriguez;CH;1;0;0
310;2;11;Max Kruse;D;30;6;8
311;2;12;Bas Dost;NL;20;8;2
312;2;3;Nicklas Bendtner;DEN;13;2;0
313;2;16;Bruno Henrique;BRA;7;0;1
314;2;0;Leandro Putaro;D;4;0;0
315;2;32;Oskar Zawada;PL;0;0;0
316;2;33;Sebastian Stolze;D;0;0;0
317;16;15;René Adler;D;24;0;1
318;16;1;Jaroslav Drobny;CZE;9;0;1
319;16;30;Andreas Hirzel;CH;1;0;0
320;16;22;Matthias Ostrzolek;D;30;0;2
321;16;4;Emir Spahic;BOS;25;0;1
322;16;5;Johan Djourou;CH;24;2;1
323;16;2;Dennis Diekmeier;D;21;0;0
324;16;3;Cleber;BRA;21;1;0
325;16;24;Gotoku Sakai;JAP;20;0;1
326;16;19;Dren Feka;D;0;0;0
327;16;31;Ronny Marcos;D;0;0;0
328;16;39;Ashton-Phillip Götz;D;0;0;0
329;16;8;Lewis Holtby;D;32;3;3
330;16;7;Ivo Ilicevic;CRO;30;4;2
331;16;27;Nicolai Müller;D;28;8;5
332;16;14;Aaron Hunt;D;20;2;2
333;16;28;Gideon Jung;D;19;0;1
334;16;40;Gojko Kacar;SER;17;1;0
335;16;20;Albin Ekdal;SWE;14;0;0
336;16;21;Marcelo Diaz;RCH;11;0;0
337;16;18;Josip Drmic;CH;6;1;0
338;16;21;Nabil Bahoui;SWE;4;0;0
339;16;17;Zoltán Stieber;HUN;2;0;0
340;16;0;Ahmet Arslan;TUR;1;0;0
341;16;6;Kerem Demirbay;TUR;0;0;0
342;16;19;Petr Jiracek;CZE;0;0;0
343;16;25;Mohamed Gouaida;F;0;0;0
344;16;34;Finn Porath;D;0;0;0
345;16;10;Pierre-Michel Lasogga;D;28;8;3
346;16;23;Michael Gregoritsch;A;23;3;0
347;16;9;Sven Schipplock;D;19;0;4
348;16;16;Artjoms Rudnevs;LAT;11;2;1
349;16;11;Ivica Olic;CRO;8;0;1
350;16;33;Batuhan Altintas;TUR;0;0;0
351;5;35;Marwin Hitz;CH;31;0;0
352;5;1;Alexander Manninger;A;1;0;0
353;5;24;Ionnis Gelios;D;0;0;0
354;5;28;Yannik Oettl;D;0;0;0
355;5;5;Ragnar Klavan;EST;30;0;0
356;5;2;Paul Verhaegh;NL;25;6;2
357;5;31;Philipp Max;D;25;0;0
358;5;20;Jeong-Ho Hong;KOR;22;2;0
359;5;3;Konstantinos Stafylidis;GR;10;1;0
360;5;6;Jeffrey Gouweleeuw;NL;10;0;0
361;5;16;Christoph Janker;D;10;0;0
362;5;18;Jan-Ingwer Callsen-Bracker;D;9;1;0
363;5;4;Daniel Opare;GHA;3;0;0
364;5;12;Abdul Rahman Baba;GHA;0;0;0
365;5;32;Raphael Framberger;D;0;0;0
366;5;39;Maik Uhde;D;0;0;0
367;5;40;Tim Rieder;D;0;0;0
368;5;11;Alexander Esswein;D;29;4;2
369;5;21;Dominik Kohr;D;29;0;2
370;5;10;Daniel Baier;D;26;0;2
371;5;19;Ja-Cheol Koo;KOR;26;8;2
372;5;30;Caiuby;BRA;24;4;6
373;5;8;Markus Feulner;D;19;1;1
374;5;7;Halil Altintop;TUR;17;1;2
375;5;13;Tobias Werner;D;13;0;1
376;5;14;Jan Morávek;CZE;10;1;0
377;5;15;Piotr Trochowski;D;6;0;0
378;5;9;Shawn Parker;D;0;0;0
379;5;26;Bastian Kurz;D;0;0;0
380;5;29;Marco Schuster;D;0;0;0
381;5;36;Max Reinthaler;I;0;0;0
382;5;36;Erik Thommy;D;0;0;0
383;5;37;Arif Ekin;D;0;0;0
384;5;25;Raul Bobadilla;ARG;25;4;3
385;5;22;Dong-Won Ji;KOR;19;0;0
386;5;23;Tim Matavz;SLO;11;0;0
387;5;27;Alfred Finnbogason;ISL;11;6;3
388;5;33;Sascha Mölders;D;4;0;0
389;5;17;Albian Ajeti;CH;1;0;0
390;5;0;Nikola Djurdjic;SER;0;0;0
391;8;1;Oliver Baumann;D;32;0;0
392;8;13;Jens Grahl;D;0;0;0
393;8;33;Alexander Stolz;D;0;0;0
394;8;25;Niklas Süle;D;32;0;1
395;8;3;Pavel Kaderabek;CZE;26;0;1
396;8;12;Tobias Strobl;D;25;0;1
397;8;5;Fabian Schär;CH;23;1;0
398;8;4;Ermin Bicakcic;D;19;0;0
399;8;36;Jeremy Toljan;D;17;1;0
400;8;20;Jin-Su Kim;KOR;15;0;0
401;8;21;Nicolai Rapp;D;0;0;0
402;8;32;Benedikt Gimber;D;0;0;0
403;8;0;Luis Advíncula;PER;0;0;0
404;8;0;Jannik Dehm;D;0;0;0
405;8;8;Eugen Polanski;PL/D;25;1;2
406;8;9;Eduardo Vargas;RCH;24;2;4
407;8;10;Jonathan Schmid;F;23;4;0
408;8;34;Nadiem Amiri;D;23;4;4
409;8;6;Sebastian Rudy;D;22;2;1
410;8;16;Pirmin Schwegler;CH;18;0;0
411;8;17;Steven Zuber;CH;12;2;0
412;8;30;Philipp Ochs;D;11;0;1
413;8;11;Jiloan Hamad;SWE;7;1;0
414;8;14;Tarik Elyounoussi;NOR;5;0;1
415;8;0;Russell Canouse;USA;1;0;0
416;8;9;Kai Herdling;D;0;0;0
417;8;0;Filip Malbasic;SER;0;0;0
418;8;0;Júnior Ponce;PER;0;0;0
419;8;31;Kevin Volland;D;31;8;9
420;8;19;Mark Uth;D;23;7;1
421;8;40;Andrej Kramaric;CRO;13;5;4
422;8;22;Kevin Kuranyi;D;12;0;0
423;8;28;Adam Szalai;HUN;4;0;0
424;8;40;Joelinton;BRA;1;0;0
425;8;29;Joshua Mees;D;0;0;0
426;18;31;Christian Mathenia;D;32;0;0
427;18;1;Patrick Platins;D;0;0;0
428;18;40;Lukasz Za?uska;PL;0;0;0
429;18;33;Luca Caldirola;I;32;0;0
430;18;4;Aytac Sulu;TUR;31;7;0
431;18;13;György Garics;A;19;0;0
432;18;23;Florian Jungwirth;D;19;0;1
433;18;32;Fabian Holland;D;16;0;0
434;18;35;Slobodan Rajkovic;SER;15;1;1
435;18;15;Junior Diaz;COS;12;0;0
436;18;21;Sandro Sirigu;I;6;0;2
437;18;5;Benjamin Gorka;D;3;0;0
438;18;3;Michael Stegmayer;D;0;0;0
439;18;39;Noel Wembacher;D;0;0;0
440;18;8;Jerome Gondorf;D;31;2;3
441;18;20;Marcel Heller;D;31;6;4
442;18;11;Tobias Kempe;D;29;0;4
443;18;18;Peter Niemeyer;D;29;2;0
444;18;34;Konstantin Rausch;D;29;2;5
445;18;10;Jan Rosenthal;D;23;0;3
446;18;6;Mario Vrancic;BOS;20;2;1
447;18;25;Yannick Stark;D;0;0;0
448;18;27;Milan Ivana;SVK;0;0;0
449;18;36;Jan Finger;D;0;0;0
450;18;37;Ali Kazimi;D;0;0;0
451;18;38;Nick Volk;D;0;0;0
452;18;14;Sandro Wagner;D;31;13;3
453;18;9;Dominik Stroh-Engel;D;15;0;1
454;18;7;Marco Sailer;D;13;1;0
455;18;19;Felix Platte;D;9;0;0
456;10;42;Felix Wiedwald;D;32;0;0
457;10;1;Raphael Wolf;D;0;0;0
458;10;18;Gerhard Tremmel;D;0;0;0
459;10;30;Michael Zetterer;D;0;0;0
460;10;40;Raif Husic;D;0;0;0
461;10;43;Eric Oelschlägel;D;0;0;0
462;10;7;Jannik Vestergaard;DEN;31;2;0
463;10;23;Theodor Gebre Selassie;CZE;31;1;2
464;10;2;Santiago Garcia;ARG;27;0;5
465;10;4;Alejandro Galvez;E;20;1;0
466;10;3;Papy Mison Djilobodji;SEN;12;1;1
467;10;5;Assani Lukimya-Mulongoti;CGO;12;0;0
468;10;20;Ulisses Garcia;CH;11;0;1
469;10;37;Janek Sternberg;D;8;0;1
470;10;13;Milos Veljkovic;CH;3;0;0
471;10;19;Luca-Milan Zander;D;2;0;0
472;10;25;Oliver Hüsing;D;1;0;0
473;10;0;Leon Guwara;D;1;0;0
474;10;15;Mateo Pavlovi?;CRO;0;0;0
475;10;38;Marnon Busch;D;0;0;0
476;10;22;Fin Bartels;D;29;8;1
477;10;16;Zlatko Junuzovic;A;28;4;9
478;10;8;Clemens Fritz;D;27;1;4
479;10;11;Levin Öztunali;D;23;1;3
480;10;27;Florian Grillitsch;A;23;1;3
481;10;44;Philipp Bargfrede;D;14;0;1
482;10;5;Sambou Yatabaré;MLI;8;1;2
483;10;18;Felix Kroos;D;8;0;0
484;10;39;Lukas Fröde;D;8;0;0
485;10;6;Lazlo Kleinheisler;HUN;6;0;0
486;10;35;Maximilian Eggestein;D;5;0;0
487;10;0;Marcel Hilßner;D;1;0;0
488;10;6;Cedrick Makiadi;D/COD;0;0;0
489;10;10;Levent Aycicek;D;0;0;0
490;10;14;Izet Hajrovic;CH;0;0;0
491;10;17;Özkan Yildirim;D;0;0;0
492;10;26;Julian von Haacke;D;0;0;0
493;10;0;Ludovic Obraniak;PL/F;0;0;0
494;10;0;Giorgi Papunashvili;GEO;0;0;0
495;10;21;Anthony Ujah;NGA;30;11;1
496;10;14;Claudio Pizarro;PER;26;14;3
497;10;28;Melvyn Lorenzen;D;9;0;0
498;10;9;Aron Johannsson;USA;6;2;0
499;9;1;Lucas Hradecky;FIN;32;0;0
500;9;13;Heinz Lindner;A;0;0;0
501;9;29;Emil Balayev;AZE;0;0;0
502;9;33;Yannick Zummack;D;0;0;0
503;9;19;David Abraham;ARG;29;0;0
504;9;6;Bastian Oczipka;D;28;0;0
505;9;5;Carlos Zambrano;PER;23;0;0
506;9;27;Aleksandar Ignjovski;SER;17;0;2
507;9;15;Constant Djakpa;CIV;10;0;0
508;9;22;Timothy Chandler;D;10;0;0
509;9;2;Yanni Regäsel;D;8;0;0
510;9;3;Kaan Ayhan;D;2;0;0
511;9;31;David Kinsombi;D;2;0;0
512;9;23;Anderson;BRA;0;0;0
513;9;20;Makoto Hasebe;JAP;30;1;1
514;9;16;Stefan Aigner;D;29;2;6
515;9;4;Marco Russ;D;26;3;2
516;9;21;Marc Stendera;D;25;2;1
517;9;7;Stefan Reinartz;D;15;1;1
518;9;8;Szabolcs Huszti;HUN;14;1;2
519;9;25;Slobodan Medojevic;SER;14;1;0
520;9;10;Marco Fabian;MEX;11;0;2
521;9;28;Sonny Kittel;D;8;0;0
522;9;11;Mijat Gacinovic;SER;7;0;0
523;9;32;Änis Ben-Hatira;D;7;1;2
524;9;18;Johannes Flum;D;5;0;1
525;9;32;Joel Gerezgiher;D;3;0;0
526;9;8;Takashi Inui;JAP;1;0;0
527;9;0;Nico Rinderknecht;D;1;0;0
528;9;9;Haris Seferovic;CH;28;3;6
529;9;14;Alexander Meier;D;19;12;1
530;9;30;Luc Castaignos;NL;17;4;1
531;9;24;Luca Waldschmidt;D;11;0;1
532;9;10;Vaclav Kadlec;CZE;5;0;0
533;9;38;Enis Bunjaki;D;0;0;0
534;14;22;Przemyslaw Tyton;PL;30;0;0
535;14;17;Odisseas Vlachodimos;D;3;0;0
